EW,MW
201040,0
201041,1
201042,2
201043,3
201044,4
201045,5
201046,6
201047,7
201048,8
201049,9
201050,10
201051,11
201052,12
201101,13
201102,14
201103,15
201104,16
201105,17
201106,18
201107,19
201108,20
201109,21
201110,22
201111,23
201112,24
201113,25
201114,26
201115,27
201116,28
201117,29
201118,30
201119,31
201120,32
201140,33
201141,34
201142,35
201143,36
201144,37
201145,38
201146,39
201147,40
201148,41
201149,42
201150,43
201151,44
201152,45
201201,46
201202,47
201203,48
201204,49
201205,50
201206,51
201207,52
201208,53
201209,54
201210,55
201211,56
201212,57
201213,58
201214,59
201215,60
201216,61
201217,62
201218,63
201219,64
201220,65
201240,66
201241,67
201242,68
201243,69
201244,70
201245,71
201246,72
201247,73
201248,74
201249,75
201250,76
201251,77
201252,78
201301,79
201302,80
201303,81
201304,82
201305,83
201306,84
201307,85
201308,86
201309,87
201310,88
201311,89
201312,90
201313,91
201314,92
201315,93
201316,94
201317,95
201318,96
201319,97
201320,98
201340,99
201341,100
201342,101
201343,102
201344,103
201345,104
201346,105
201347,106
201348,107
201349,108
201350,109
201351,110
201352,111
201401,112
201402,113
201403,114
201404,115
201405,116
201406,117
201407,118
201408,119
201409,120
201410,121
201411,122
201412,123
201413,124
201414,125
201415,126
201416,127
201417,128
201418,129
201419,130
201420,131
201440,132
201441,133
201442,134
201443,135
201444,136
201445,137
201446,138
201447,139
201448,140
201449,141
201450,142
201451,143
201452,144
201453,145
201501,146
201502,147
201503,148
201504,149
201505,150
201506,151
201507,152
201508,153
201509,154
201510,155
201511,156
201512,157
201513,158
201514,159
201515,160
201516,161
201517,162
201518,163
201519,164
201520,165
201540,166
201541,167
201542,168
201543,169
201544,170
201545,171
201546,172
201547,173
201548,174
201549,175
201550,176
201551,177
201552,178
201601,179
201602,180
201603,181
201604,182
201605,183
201606,184
201607,185
201608,186
201609,187
201610,188
201611,189
201612,190
201613,191
201614,192
201615,193
201616,194
201617,195
201618,196
201619,197
201620,198
201640,199
201641,200
201642,201
201643,202
201644,203
201645,204
201646,205
201647,206
201648,207
201649,208
201650,209
201651,210
201652,211
201701,212
201702,213
201703,214
201704,215
201705,216
201706,217
201707,218
201708,219
201709,220
201710,221
201711,222
201712,223
201713,224
201714,225
201715,226
201716,227
201717,228
201718,229
201719,230
201720,231
201740,232
201741,233
201742,234
201743,235
201744,236
201745,237
201746,238
201747,239
201748,240
201749,241
201750,242
201751,243
201752,244
201801,245
201802,246
201803,247
201804,248
201805,249
201806,250
201807,251
201808,252
201809,253
201810,254
201811,255
201812,256
201813,257
201814,258
201815,259
201816,260
201817,261
201818,262
201819,263
201820,264
201840,265
201841,266
201842,267
201843,268
201844,269
201845,270
201846,271
201847,272
201848,273
201849,274
201850,275
201851,276
201852,277
201901,278
201902,279
201903,280
201904,281
201905,282
201906,283
201907,284
201908,285
201909,286
201910,287
201911,288
201912,289
201913,290
201914,291
201915,292
201916,293
201917,294
201918,295
201919,296
201920,297
