component_model_id,mean,season,releaseEW
0,0.0030262511659265513,2010/2011,201044
1,0.03067018157867916,2010/2011,201044
2,0.02785366283518525,2010/2011,201044
3,0.031049221308282297,2010/2011,201044
4,0.029558537699446323,2010/2011,201044
5,0.0384232282596855,2010/2011,201044
6,0.03142761057539004,2010/2011,201044
7,0.0050963667044532915,2010/2011,201044
8,0.0035328255466468045,2010/2011,201044
9,0.003483962118471912,2010/2011,201044
10,0.03243467735937755,2010/2011,201044
11,0.012576538265553073,2010/2011,201044
12,0.002822073326917444,2010/2011,201044
13,0.0033557683466574183,2010/2011,201044
14,0.0029833104688216814,2010/2011,201044
15,0.0060041401012874435,2010/2011,201044
16,0.012183121350634398,2010/2011,201044
17,0.007589175314625033,2010/2011,201044
18,0.07713782622010695,2010/2011,201044
19,0.018861656839680135,2010/2011,201044
20,0.07705452489085825,2010/2011,201044
21,0.010839748786157035,2010/2011,201044
22,0.010823403891085093,2010/2011,201044
23,0.009431330076775275,2010/2011,201044
24,0.18354500255133566,2010/2011,201044
25,0.01168103909515156,2010/2011,201044
26,0.316554815322806,2010/2011,201044
0,0.002801899476522785,2010/2011,201045
1,0.008783406591969915,2010/2011,201045
2,0.010432058874551777,2010/2011,201045
3,0.009795110893554348,2010/2011,201045
4,0.01225610009011131,2010/2011,201045
5,0.009327116756570603,2010/2011,201045
6,0.01362851506782849,2010/2011,201045
7,0.005783079346461737,2010/2011,201045
8,0.0038561153308977274,2010/2011,201045
9,0.002965989821973413,2010/2011,201045
10,0.02450852947985696,2010/2011,201045
11,0.03862543942108168,2010/2011,201045
12,0.002820987793784975,2010/2011,201045
13,0.009206090739176994,2010/2011,201045
14,0.007533574816769906,2010/2011,201045
15,0.00568332854661362,2010/2011,201045
16,0.010434467186291006,2010/2011,201045
17,0.008947478151437612,2010/2011,201045
18,0.1168441708421271,2010/2011,201045
19,0.03294016397191849,2010/2011,201045
20,0.11494537088447503,2010/2011,201045
21,0.013366714460489214,2010/2011,201045
22,0.0130763074652135,2010/2011,201045
23,0.01128954418436218,2010/2011,201045
24,0.3346039862783149,2010/2011,201045
25,0.009267960147145357,2010/2011,201045
26,0.1662764933804965,2010/2011,201045
0,0.003343167095687727,2010/2011,201046
1,0.015460758483285132,2010/2011,201046
2,0.01167720024097142,2010/2011,201046
3,0.013734075553785982,2010/2011,201046
4,0.012387063983925544,2010/2011,201046
5,0.014809356003788363,2010/2011,201046
6,0.01346464319680516,2010/2011,201046
7,0.005767510767035091,2010/2011,201046
8,0.0036951375392206822,2010/2011,201046
9,0.003523355872641772,2010/2011,201046
10,0.014029561672696403,2010/2011,201046
11,0.022854227683443928,2010/2011,201046
12,0.002892365547042353,2010/2011,201046
13,0.004389953311176344,2010/2011,201046
14,0.004008356125432607,2010/2011,201046
15,0.005994651519026894,2010/2011,201046
16,0.008841263061245884,2010/2011,201046
17,0.008659923065579672,2010/2011,201046
18,0.24491949732446605,2010/2011,201046
19,0.013575111450341367,2010/2011,201046
20,0.3081336474438904,2010/2011,201046
21,0.00876163825978896,2010/2011,201046
22,0.010036145710880818,2010/2011,201046
23,0.010527280482118815,2010/2011,201046
24,0.0867780831263291,2010/2011,201046
25,0.009969313135338961,2010/2011,201046
26,0.13776671234405435,2010/2011,201046
0,0.004673563015230517,2010/2011,201047
1,0.014538988614915876,2010/2011,201047
2,0.01268216900658798,2010/2011,201047
3,0.014490096623207938,2010/2011,201047
4,0.01169303960770538,2010/2011,201047
5,0.011610970679660153,2010/2011,201047
6,0.008238187669760352,2010/2011,201047
7,0.005821188010382292,2010/2011,201047
8,0.0036478172474260473,2010/2011,201047
9,0.003548094503892863,2010/2011,201047
10,0.01301282803918827,2010/2011,201047
11,0.015889717054197942,2010/2011,201047
12,0.0030711841229937873,2010/2011,201047
13,0.005041944479529798,2010/2011,201047
14,0.00510539155774321,2010/2011,201047
15,0.005506042201938949,2010/2011,201047
16,0.009086792737181685,2010/2011,201047
17,0.008755086287895812,2010/2011,201047
18,0.3155448087710613,2010/2011,201047
19,0.01145532711365223,2010/2011,201047
20,0.3049283756826452,2010/2011,201047
21,0.009205611160167434,2010/2011,201047
22,0.009125579821011934,2010/2011,201047
23,0.009061602446299803,2010/2011,201047
24,0.0703083663078107,2010/2011,201047
25,0.012134955470039106,2010/2011,201047
26,0.10182227176787566,2010/2011,201047
0,0.004948771584837314,2010/2011,201048
1,0.016127508957249383,2010/2011,201048
2,0.013651385367451923,2010/2011,201048
3,0.01707010117532767,2010/2011,201048
4,0.013154128572580297,2010/2011,201048
5,0.011660802586292441,2010/2011,201048
6,0.008842967824680612,2010/2011,201048
7,0.006263612281468097,2010/2011,201048
8,0.0037224713883958352,2010/2011,201048
9,0.003585094204646366,2010/2011,201048
10,0.011526151830385752,2010/2011,201048
11,0.01147831617263677,2010/2011,201048
12,0.0030153282946480064,2010/2011,201048
13,0.005166729483182612,2010/2011,201048
14,0.00586869841536742,2010/2011,201048
15,0.005231395999454488,2010/2011,201048
16,0.009059253188588723,2010/2011,201048
17,0.011040434675963147,2010/2011,201048
18,0.35617446301913797,2010/2011,201048
19,0.011571513616981773,2010/2011,201048
20,0.3422617000038424,2010/2011,201048
21,0.008047895459245887,2010/2011,201048
22,0.008382538528747003,2010/2011,201048
23,0.008389872997922404,2010/2011,201048
24,0.03293666275520055,2010/2011,201048
25,0.010168445608271973,2010/2011,201048
26,0.060653756007493384,2010/2011,201048
0,0.006022995348341821,2010/2011,201049
1,0.014285534343681966,2010/2011,201049
2,0.01287005493434273,2010/2011,201049
3,0.015856886383985865,2010/2011,201049
4,0.012705915864810671,2010/2011,201049
5,0.010231246894007019,2010/2011,201049
6,0.008732773874698358,2010/2011,201049
7,0.006427482963931595,2010/2011,201049
8,0.003733580650053603,2010/2011,201049
9,0.0036331239445094774,2010/2011,201049
10,0.011233149677987065,2010/2011,201049
11,0.011828890209414536,2010/2011,201049
12,0.003049317066995863,2010/2011,201049
13,0.006890422072630922,2010/2011,201049
14,0.006906027393011487,2010/2011,201049
15,0.0054962977860639195,2010/2011,201049
16,0.008212032254210444,2010/2011,201049
17,0.011245544532225314,2010/2011,201049
18,0.36091543686509625,2010/2011,201049
19,0.011139984549029749,2010/2011,201049
20,0.36815264082436727,2010/2011,201049
21,0.00754067422738643,2010/2011,201049
22,0.00750875117999954,2010/2011,201049
23,0.0081155006897943,2010/2011,201049
24,0.02569681097038765,2010/2011,201049
25,0.010462176003843845,2010/2011,201049
26,0.04110674849518939,2010/2011,201049
0,0.007617474770341739,2010/2011,201050
1,0.01983393579606853,2010/2011,201050
2,0.020322227834741333,2010/2011,201050
3,0.021189458205671013,2010/2011,201050
4,0.0185287652930278,2010/2011,201050
5,0.012062316588635606,2010/2011,201050
6,0.012308096653259297,2010/2011,201050
7,0.006735289387553158,2010/2011,201050
8,0.0037671642413332398,2010/2011,201050
9,0.0036449173007504555,2010/2011,201050
10,0.010118922926896343,2010/2011,201050
11,0.011603175150388747,2010/2011,201050
12,0.003140003729941135,2010/2011,201050
13,0.011604179409764569,2010/2011,201050
14,0.00931071839778422,2010/2011,201050
15,0.005730064343184772,2010/2011,201050
16,0.008049224989668539,2010/2011,201050
17,0.012455354989951562,2010/2011,201050
18,0.3361521166553736,2010/2011,201050
19,0.012129701323889177,2010/2011,201050
20,0.35284369878394234,2010/2011,201050
21,0.007531025662385218,2010/2011,201050
22,0.007581811904057382,2010/2011,201050
23,0.008263061264938936,2010/2011,201050
24,0.032456077670567254,2010/2011,201050
25,0.013653738471551503,2010/2011,201050
26,0.03136747825433217,2010/2011,201050
0,0.0081444512956351,2010/2011,201051
1,0.01791063479082698,2010/2011,201051
2,0.018507699882541105,2010/2011,201051
3,0.018466930529427928,2010/2011,201051
4,0.01782442692372461,2010/2011,201051
5,0.011390441422529774,2010/2011,201051
6,0.013305038381247724,2010/2011,201051
7,0.007916846525902159,2010/2011,201051
8,0.0038798484136339474,2010/2011,201051
9,0.003722744449207528,2010/2011,201051
10,0.012486512157077608,2010/2011,201051
11,0.013809551234943587,2010/2011,201051
12,0.0031287035402428344,2010/2011,201051
13,0.024208084846111633,2010/2011,201051
14,0.012025968994386104,2010/2011,201051
15,0.005767332211121733,2010/2011,201051
16,0.00818419236718082,2010/2011,201051
17,0.014898743645687733,2010/2011,201051
18,0.3137960527809001,2010/2011,201051
19,0.011638716450062717,2010/2011,201051
20,0.3642819999943685,2010/2011,201051
21,0.007638265907488831,2010/2011,201051
22,0.007688368408661995,2010/2011,201051
23,0.008123277929515029,2010/2011,201051
24,0.03334234039573866,2010/2011,201051
25,0.01461453558290588,2010/2011,201051
26,0.023298290938926845,2010/2011,201051
0,0.009781085238005359,2010/2011,201052
1,0.013284462066388869,2010/2011,201052
2,0.015314440324056804,2010/2011,201052
3,0.014348561046246485,2010/2011,201052
4,0.015455252290835084,2010/2011,201052
5,0.010145807676466242,2010/2011,201052
6,0.01283008749900103,2010/2011,201052
7,0.007072129607887537,2010/2011,201052
8,0.0038113163564549965,2010/2011,201052
9,0.0038062589780439174,2010/2011,201052
10,0.010969734429328819,2010/2011,201052
11,0.013095701170256243,2010/2011,201052
12,0.0031003822727442122,2010/2011,201052
13,0.02838220028874084,2010/2011,201052
14,0.015376300508514526,2010/2011,201052
15,0.005943533860374886,2010/2011,201052
16,0.008088836537507561,2010/2011,201052
17,0.016553240923125982,2010/2011,201052
18,0.29884321583353346,2010/2011,201052
19,0.012273980995735635,2010/2011,201052
20,0.3859780592863174,2010/2011,201052
21,0.007625411699684553,2010/2011,201052
22,0.007677326698934749,2010/2011,201052
23,0.007961637704369416,2010/2011,201052
24,0.031010212213250003,2010/2011,201052
25,0.015720766490022915,2010/2011,201052
26,0.025550058004172378,2010/2011,201052
0,0.0104838493172434,2010/2011,201101
1,0.01290987316961726,2010/2011,201101
2,0.015264725692719743,2010/2011,201101
3,0.013747330532440856,2010/2011,201101
4,0.014750181849422398,2010/2011,201101
5,0.010414996699745504,2010/2011,201101
6,0.012736951891155847,2010/2011,201101
7,0.0072371360717407174,2010/2011,201101
8,0.004032632907853717,2010/2011,201101
9,0.003924149873551097,2010/2011,201101
10,0.010108152024333095,2010/2011,201101
11,0.012640187261661696,2010/2011,201101
12,0.0031554878913943995,2010/2011,201101
13,0.031917072403273294,2010/2011,201101
14,0.019257003878708025,2010/2011,201101
15,0.006195012213679269,2010/2011,201101
16,0.008296355911910698,2010/2011,201101
17,0.017535944425103672,2010/2011,201101
18,0.2738767433984977,2010/2011,201101
19,0.01220163358212153,2010/2011,201101
20,0.40499103360294614,2010/2011,201101
21,0.007438532709800306,2010/2011,201101
22,0.007428113272127131,2010/2011,201101
23,0.00841878597639562,2010/2011,201101
24,0.026639227404798328,2010/2011,201101
25,0.01733641822339685,2010/2011,201101
26,0.027062467814361627,2010/2011,201101
0,0.012305183841897837,2010/2011,201102
1,0.012241543985361977,2010/2011,201102
2,0.014142109239259895,2010/2011,201102
3,0.012953168516976294,2010/2011,201102
4,0.014258673124686427,2010/2011,201102
5,0.010049185569724981,2010/2011,201102
6,0.011505889335616743,2010/2011,201102
7,0.007206095951428658,2010/2011,201102
8,0.003994630585332497,2010/2011,201102
9,0.004008437535249781,2010/2011,201102
10,0.010102468285136928,2010/2011,201102
11,0.010933460910992397,2010/2011,201102
12,0.003220312610022749,2010/2011,201102
13,0.03708609459971269,2010/2011,201102
14,0.020970483824367562,2010/2011,201102
15,0.006589569978983161,2010/2011,201102
16,0.009642225629216423,2010/2011,201102
17,0.01921831231311075,2010/2011,201102
18,0.2178320451701963,2010/2011,201102
19,0.012118601607839124,2010/2011,201102
20,0.4468037375752975,2010/2011,201102
21,0.007760276914688066,2010/2011,201102
22,0.007770541280079577,2010/2011,201102
23,0.008600837634788923,2010/2011,201102
24,0.031416949883337084,2010/2011,201102
25,0.019432737441066026,2010/2011,201102
26,0.027836426655630533,2010/2011,201102
0,0.013641631445740864,2010/2011,201103
1,0.011415063368121769,2010/2011,201103
2,0.0130581031435416,2010/2011,201103
3,0.012308644131978923,2010/2011,201103
4,0.013934335072357678,2010/2011,201103
5,0.009610571345772805,2010/2011,201103
6,0.011414808118662636,2010/2011,201103
7,0.008059633386947745,2010/2011,201103
8,0.00422658451117463,2010/2011,201103
9,0.004210143233078341,2010/2011,201103
10,0.010025345021239845,2010/2011,201103
11,0.00998077107222224,2010/2011,201103
12,0.003306604480278306,2010/2011,201103
13,0.04715138978333885,2010/2011,201103
14,0.027761891134940254,2010/2011,201103
15,0.006622846657750461,2010/2011,201103
16,0.009201326010338245,2010/2011,201103
17,0.023055150283661636,2010/2011,201103
18,0.17688107902940586,2010/2011,201103
19,0.010943395708281622,2010/2011,201103
20,0.4653777429963615,2010/2011,201103
21,0.007446518042552423,2010/2011,201103
22,0.007598799425831929,2010/2011,201103
23,0.00876008385989853,2010/2011,201103
24,0.031645256311158686,2010/2011,201103
25,0.02207056587933137,2010/2011,201103
26,0.030291716546033985,2010/2011,201103
0,0.014553847422074412,2010/2011,201104
1,0.012149868305937155,2010/2011,201104
2,0.014425065153501837,2010/2011,201104
3,0.012759321334991277,2010/2011,201104
4,0.015596918948438466,2010/2011,201104
5,0.01050239233132042,2010/2011,201104
6,0.012888634378685692,2010/2011,201104
7,0.00912060595449462,2010/2011,201104
8,0.004474740710296527,2010/2011,201104
9,0.004368612637335365,2010/2011,201104
10,0.009514137426407913,2010/2011,201104
11,0.009457105734265645,2010/2011,201104
12,0.003392894615985089,2010/2011,201104
13,0.05056260140599076,2010/2011,201104
14,0.037368592323997564,2010/2011,201104
15,0.006980641315347506,2010/2011,201104
16,0.009754391168191063,2010/2011,201104
17,0.02111479639255449,2010/2011,201104
18,0.1518716378484629,2010/2011,201104
19,0.010797128976637479,2010/2011,201104
20,0.46612204369416893,2010/2011,201104
21,0.007592702447190749,2010/2011,201104
22,0.007482984921558908,2010/2011,201104
23,0.00903130128346757,2010/2011,201104
24,0.02947609627463649,2010/2011,201104
25,0.020941773036777182,2010/2011,201104
26,0.037699163957286085,2010/2011,201104
0,0.014272520193745083,2010/2011,201105
1,0.012178937964968304,2010/2011,201105
2,0.01566424337155522,2010/2011,201105
3,0.012408052465763143,2010/2011,201105
4,0.01497703554434258,2010/2011,201105
5,0.01087824021993343,2010/2011,201105
6,0.01342176380710799,2010/2011,201105
7,0.009725125101463719,2010/2011,201105
8,0.004611038690482183,2010/2011,201105
9,0.0045740724436181,2010/2011,201105
10,0.009444868833365943,2010/2011,201105
11,0.00870467414798851,2010/2011,201105
12,0.003279348795049377,2010/2011,201105
13,0.047596727079556395,2010/2011,201105
14,0.04140114037178032,2010/2011,201105
15,0.0075522100624916735,2010/2011,201105
16,0.010909921137716471,2010/2011,201105
17,0.021876031343585102,2010/2011,201105
18,0.1358942682455877,2010/2011,201105
19,0.011126669745882539,2010/2011,201105
20,0.47626056591971966,2010/2011,201105
21,0.007646025220934955,2010/2011,201105
22,0.007689086807080656,2010/2011,201105
23,0.009406709855331276,2010/2011,201105
24,0.027354015774792174,2010/2011,201105
25,0.021612485364641755,2010/2011,201105
26,0.03953422149151337,2010/2011,201105
0,0.012397602976371262,2010/2011,201106
1,0.012739936624180841,2010/2011,201106
2,0.016864512226750727,2010/2011,201106
3,0.01341252860157184,2010/2011,201106
4,0.016033424679607906,2010/2011,201106
5,0.01277031633273912,2010/2011,201106
6,0.014053090820534124,2010/2011,201106
7,0.010488322677993274,2010/2011,201106
8,0.004810227724220123,2010/2011,201106
9,0.004594674629021906,2010/2011,201106
10,0.010227485706615835,2010/2011,201106
11,0.009894812062755096,2010/2011,201106
12,0.0034441281602191785,2010/2011,201106
13,0.057415710496806355,2010/2011,201106
14,0.035249578063578646,2010/2011,201106
15,0.008051732676785784,2010/2011,201106
16,0.011671963929052212,2010/2011,201106
17,0.02028841433719624,2010/2011,201106
18,0.15326239693093602,2010/2011,201106
19,0.01245403265416719,2010/2011,201106
20,0.45737916375074283,2010/2011,201106
21,0.008322852229041148,2010/2011,201106
22,0.008474864274583105,2010/2011,201106
23,0.009630637312954068,2010/2011,201106
24,0.020579719122896058,2010/2011,201106
25,0.020535796246234035,2010/2011,201106
26,0.03495207475244752,2010/2011,201106
0,0.013047589605448167,2010/2011,201107
1,0.013013665212660714,2010/2011,201107
2,0.01791238921566033,2010/2011,201107
3,0.013860314398053013,2010/2011,201107
4,0.015613588019304148,2010/2011,201107
5,0.013307420884182946,2010/2011,201107
6,0.014168661999265694,2010/2011,201107
7,0.010415810629855138,2010/2011,201107
8,0.0050073359018726225,2010/2011,201107
9,0.0048223878148723805,2010/2011,201107
10,0.008807054357544258,2010/2011,201107
11,0.009255918715152005,2010/2011,201107
12,0.003508051845461883,2010/2011,201107
13,0.05785973352616106,2010/2011,201107
14,0.03368886619353617,2010/2011,201107
15,0.008660896255355583,2010/2011,201107
16,0.012073576382400092,2010/2011,201107
17,0.02114357870770494,2010/2011,201107
18,0.17456639144465227,2010/2011,201107
19,0.0126973749166769,2010/2011,201107
20,0.4405508311949711,2010/2011,201107
21,0.008497994611087894,2010/2011,201107
22,0.008632893107101807,2010/2011,201107
23,0.009593088573189816,2010/2011,201107
24,0.017226763848732965,2010/2011,201107
25,0.020282295602003484,2010/2011,201107
26,0.0317855270370925,2010/2011,201107
0,0.013364943708537485,2010/2011,201108
1,0.013120779030027247,2010/2011,201108
2,0.01732511516884513,2010/2011,201108
3,0.013225796156666792,2010/2011,201108
4,0.015568093450144553,2010/2011,201108
5,0.013244131341978112,2010/2011,201108
6,0.013619330036220432,2010/2011,201108
7,0.009597181333215899,2010/2011,201108
8,0.0051320890597616915,2010/2011,201108
9,0.004912829088315589,2010/2011,201108
10,0.007582060131448954,2010/2011,201108
11,0.00825973418963754,2010/2011,201108
12,0.003532245338484804,2010/2011,201108
13,0.04990155655613077,2010/2011,201108
14,0.02905499010918968,2010/2011,201108
15,0.008703680211323441,2010/2011,201108
16,0.011643845728417626,2010/2011,201108
17,0.022364356628233936,2010/2011,201108
18,0.1797524473590612,2010/2011,201108
19,0.012865314501348174,2010/2011,201108
20,0.45181788719069765,2010/2011,201108
21,0.00876151418617349,2010/2011,201108
22,0.00871472310191699,2010/2011,201108
23,0.009377663066369545,2010/2011,201108
24,0.014879106928999287,2010/2011,201108
25,0.01894078278384411,2010/2011,201108
26,0.03473780361500886,2010/2011,201108
0,0.012751541972461537,2010/2011,201109
1,0.013507614516420819,2010/2011,201109
2,0.016438783841270156,2010/2011,201109
3,0.01303342839994882,2010/2011,201109
4,0.015862029744960014,2010/2011,201109
5,0.01306400765423627,2010/2011,201109
6,0.013657529504343301,2010/2011,201109
7,0.009088076456443307,2010/2011,201109
8,0.005116510021861427,2010/2011,201109
9,0.004976908203177543,2010/2011,201109
10,0.007163883479513092,2010/2011,201109
11,0.007944931820941496,2010/2011,201109
12,0.0035262088880234485,2010/2011,201109
13,0.051462005396477765,2010/2011,201109
14,0.02932751901782757,2010/2011,201109
15,0.009033564924286298,2010/2011,201109
16,0.011509114830313099,2010/2011,201109
17,0.023375961775762504,2010/2011,201109
18,0.1701430308789767,2010/2011,201109
19,0.012335434522014887,2010/2011,201109
20,0.4668282787369525,2010/2011,201109
21,0.008763939711128862,2010/2011,201109
22,0.008768588317668035,2010/2011,201109
23,0.008740165639166901,2010/2011,201109
24,0.01325446522797821,2010/2011,201109
25,0.01700046635548753,2010/2011,201109
26,0.033326010162354064,2010/2011,201109
0,0.012688829908777942,2010/2011,201110
1,0.013861724530561732,2010/2011,201110
2,0.01637740032648602,2010/2011,201110
3,0.013474827673997752,2010/2011,201110
4,0.015937136677062605,2010/2011,201110
5,0.013170439663488477,2010/2011,201110
6,0.013540753504653651,2010/2011,201110
7,0.009104442176323736,2010/2011,201110
8,0.00513814757039535,2010/2011,201110
9,0.004984813323790229,2010/2011,201110
10,0.007154065264120442,2010/2011,201110
11,0.007799779997460224,2010/2011,201110
12,0.0035629041728461514,2010/2011,201110
13,0.05779595593927237,2010/2011,201110
14,0.034382183301095964,2010/2011,201110
15,0.008964115956025831,2010/2011,201110
16,0.011413055514597507,2010/2011,201110
17,0.022193187783859376,2010/2011,201110
18,0.16231437046119146,2010/2011,201110
19,0.011721950571790192,2010/2011,201110
20,0.4673603363773229,2010/2011,201110
21,0.008670248847840381,2010/2011,201110
22,0.008745648008894685,2010/2011,201110
23,0.008399490766970009,2010/2011,201110
24,0.012568091557748342,2010/2011,201110
25,0.01587097219734717,2010/2011,201110
26,0.03280512792608124,2010/2011,201110
0,0.013395311926691682,2010/2011,201111
1,0.014455020138533026,2010/2011,201111
2,0.01665023964974254,2010/2011,201111
3,0.014553976326648248,2010/2011,201111
4,0.01681362164004866,2010/2011,201111
5,0.01501116862688294,2010/2011,201111
6,0.01423891829884324,2010/2011,201111
7,0.009740846843601806,2010/2011,201111
8,0.0051874977048821345,2010/2011,201111
9,0.004920913012488931,2010/2011,201111
10,0.007317596052815353,2010/2011,201111
11,0.007314876560418614,2010/2011,201111
12,0.0035266204189847543,2010/2011,201111
13,0.06389049712561182,2010/2011,201111
14,0.03564126150333412,2010/2011,201111
15,0.009025657827101848,2010/2011,201111
16,0.01170934740602858,2010/2011,201111
17,0.02540501493248715,2010/2011,201111
18,0.17882524763636873,2010/2011,201111
19,0.011763615149654854,2010/2011,201111
20,0.42996863052514034,2010/2011,201111
21,0.009035427711538115,2010/2011,201111
22,0.009175811881236848,2010/2011,201111
23,0.008336797292706066,2010/2011,201111
24,0.012577966019295594,2010/2011,201111
25,0.015510644939958913,2010/2011,201111
26,0.03600747284895368,2010/2011,201111
0,0.014035333739816969,2010/2011,201112
1,0.014314165595478729,2010/2011,201112
2,0.015429848350292095,2010/2011,201112
3,0.014735873961171628,2010/2011,201112
4,0.016354783959193132,2010/2011,201112
5,0.015307845025504389,2010/2011,201112
6,0.014396101168579978,2010/2011,201112
7,0.00981726923620197,2010/2011,201112
8,0.0051073642496329225,2010/2011,201112
9,0.004958080363565738,2010/2011,201112
10,0.00727326810993706,2010/2011,201112
11,0.007185148170400319,2010/2011,201112
12,0.003534507300802671,2010/2011,201112
13,0.07784654688234396,2010/2011,201112
14,0.048665617691800674,2010/2011,201112
15,0.00886708211314148,2010/2011,201112
16,0.012014409571857041,2010/2011,201112
17,0.025251335739850344,2010/2011,201112
18,0.1645756274874517,2010/2011,201112
19,0.011431392207669606,2010/2011,201112
20,0.4129682562367765,2010/2011,201112
21,0.009188895597025326,2010/2011,201112
22,0.009317447541304003,2010/2011,201112
23,0.008093165462867737,2010/2011,201112
24,0.012116056714394599,2010/2011,201112
25,0.014790036345789747,2010/2011,201112
26,0.04242454117714755,2010/2011,201112
0,0.015659971426828182,2010/2011,201113
1,0.01492173966002894,2010/2011,201113
2,0.015560363132084677,2010/2011,201113
3,0.015761335833774155,2010/2011,201113
4,0.016807707617987905,2010/2011,201113
5,0.016308483495208612,2010/2011,201113
6,0.014770222843547185,2010/2011,201113
7,0.01033359802273142,2010/2011,201113
8,0.005199671316071032,2010/2011,201113
9,0.004994593251910429,2010/2011,201113
10,0.007413169349681435,2010/2011,201113
11,0.0072930923849666,2010/2011,201113
12,0.0035103404127216926,2010/2011,201113
13,0.08083034969330877,2010/2011,201113
14,0.04664898092326093,2010/2011,201113
15,0.008937052239690562,2010/2011,201113
16,0.01276647266285063,2010/2011,201113
17,0.0275494292179779,2010/2011,201113
18,0.16881262568008257,2010/2011,201113
19,0.011344617379030171,2010/2011,201113
20,0.38772935656664786,2010/2011,201113
21,0.009591655492179036,2010/2011,201113
22,0.00951297777456757,2010/2011,201113
23,0.00797562796732074,2010/2011,201113
24,0.012016938899523924,2010/2011,201113
25,0.014295350494507739,2010/2011,201113
26,0.05345427626151354,2010/2011,201113
0,0.015723315576487793,2010/2011,201114
1,0.017789915049969008,2010/2011,201114
2,0.017641461575835654,2010/2011,201114
3,0.017831254816918274,2010/2011,201114
4,0.018561168436413644,2010/2011,201114
5,0.018090243812742584,2010/2011,201114
6,0.015914061092043328,2010/2011,201114
7,0.01092077687357725,2010/2011,201114
8,0.005237034101201713,2010/2011,201114
9,0.004981450324431651,2010/2011,201114
10,0.007447533297611099,2010/2011,201114
11,0.007350373596130829,2010/2011,201114
12,0.003517805130039324,2010/2011,201114
13,0.08950896265484419,2010/2011,201114
14,0.03631246908595011,2010/2011,201114
15,0.008976765009355668,2010/2011,201114
16,0.013809337847394318,2010/2011,201114
17,0.02969621469694976,2010/2011,201114
18,0.16756258702137586,2010/2011,201114
19,0.011704424483758916,2010/2011,201114
20,0.360861172241253,2010/2011,201114
21,0.010007554611926421,2010/2011,201114
22,0.010027976141516692,2010/2011,201114
23,0.008115394264554408,2010/2011,201114
24,0.012297217851522418,2010/2011,201114
25,0.015575355263623391,2010/2011,201114
26,0.06453817514257364,2010/2011,201114
0,0.017255013564869807,2010/2011,201115
1,0.019520736091929884,2010/2011,201115
2,0.018231802817009164,2010/2011,201115
